Provinsi,Jahe (Kg),Laos/Lengkuas (Kg),Kencur (Kg),Kunyit (Kg),Lempuyang (Kg),Temulawak (Kg),Temuireng (Kg), 
ACEH,2155952.0,875778.0,484980.0,4526650.0,2755.0,32139.0,1141.0,2019
SUMATERA UTARA,2815186.0,750202.0,106589.0,1126773.0,20200.0,50285.0,18436.0,2019
SUMATERA BARAT,4508462.0,2984947.0,801357.0,2504711.0,8184.0,255836.0,3022.0,2019
RIAU,1091840.0,1147484.0,598622.0,850780.0,224703.0,157584.0,28672.0,2019
JAMBI,813915.0,535314.0,120070.0,421173.0,12556.0,26953.0,12346.0,2019
SUMATERA SELATAN,1348625.0,1532785.0,604691.0,2003190.0,9920.0,108304.0,27930.0,2019
BENGKULU,14025136.0,2283478.0,488374.0,4108019.0,38454.0,14668.0,2062.0,2019
LAMPUNG,1363150.0,860202.0,5356835.0,763742.0,286913.0,292244.0,254350.0,2019
KEP BANGKA BELITUNG,236517.0,422316.0,296437.0,352863.0,139.0,1970.0,88.0,2019
KEP RIAU,19212.0,116371.0,13125.0,30766.0,200.0,211.0,120.0,2019
DKI JAKARTA,8893.0,8808.0,2522.0,7880.0,1413.0,3467.0,365.0,2019
JAWA BARAT,34077527.0,17568894.0,6856648.0,21196057.0,259362.0,326978.0,15868.0,2019
JAWA TENGAH,27071149.0,18681968.0,8854369.0,23457136.0,1333095.0,6613863.0,1306353.0,2019
DI YOGYAKARTA,4549794.0,1197304.0,1868663.0,3102219.0,614267.0,1464761.0,825724.0,2019
JAWA TIMUR,49091741.0,13560485.0,3802062.0,91939935.0,3562945.0,19457287.0,4045395.0,2019
BANTEN,847959.0,1708473.0,538215.0,1004713.0,9281.0,3975.0,5724.0,2019
BALI,886146.0,489320.0,479222.0,12335424.0,0.0,26800.0,0.0,2019
NUSA TENGGARA BARAT,698065.0,684613.0,30076.0,836045.0,39926.0,29629.0,143.0,2019
NUSA TENGGARA TIMUR,1159878.0,2933639.0,488075.0,3708139.0,2914.0,61591.0,11261.0,2019
KALIMANTAN BARAT,1987529.0,576011.0,277892.0,742218.0,10364.0,26192.0,34688.0,2019
KALIMANTAN TENGAH,464583.0,270826.0,122947.0,161577.0,16458.0,31567.0,54029.0,2019
KALIMANTAN SELATAN,2666594.0,468871.0,2361547.0,2117711.0,110.0,172122.0,0.0,2019
KALIMANTAN TIMUR,1161737.0,142861.0,62457.0,211041.0,1976.0,22529.0,17664.0,2019
KALIMANTAN UTARA,607937.0,580243.0,43727.0,196075.0,1393.0,26546.0,4468.0,2019
SULAWESI UTARA,623681.0,219398.0,6391.0,899755.0,1022.0,26369.0,55.0,2019
SULAWESI TENGAH,299138.0,272802.0,96173.0,273941.0,6755.0,44314.0,2064.0,2019
SULAWESI SELATAN,13473810.0,3133000.0,110394.0,9552180.0,134585.0,88067.0,243321.0,2019
SULAWESI TENGGARA,1301275.0,378398.0,79790.0,638107.0,5477.0,65063.0,52467.0,2019
GORONTALO,46064.0,140.0,0.0,15081.0,0.0,0.0,0.0,2019
SULAWESI BARAT,1788081.0,499000.0,62675.0,326243.0,1001.0,181812.0,0.0,2019
MALUKU,89721.0,160521.0,33955.0,167723.0,0.0,271.0,14.0,2019
MALUKU UTARA,3083435.0,319293.0,238089.0,1306879.0,0.0,20275.0,0.0,2019
PAPUA BARAT,11031.0,11671.0,4587.0,14531.0,187.0,449.0,0.0,2019
PAPUA BARAT DAYA,,,,,,,,2019
PAPUA,6357.0,9494.0,4657.0,9927.0,2501.0,2998.0,1786.0,2019
PAPUA SELATAN,,,,,,,,2019
PAPUA TENGAH,,,,,,,,2019
PAPUA PEGUNUNGAN,,,,,,,,2019
INDONESIA,174380120.0,75384910.0,35296213.0,190909204.0,6609056.0,29637119.0,6969556.0,2019
ACEH,1506165.0,874307.0,352236.0,1550655.0,281.0,30030.0,97.0,2020
SUMATERA UTARA,7194297.0,870460.0,227500.0,3030582.0,24192.0,117507.0,3843.0,2020
SUMATERA BARAT,5932761.0,3475665.0,1481787.0,3079330.0,7844.0,117661.0,269.0,2020
RIAU,1246029.0,822902.0,655591.0,859169.0,177649.0,132690.0,32421.0,2020
JAMBI,1379149.0,622082.0,233935.0,499283.0,12685.0,34797.0,20827.0,2020
SUMATERA SELATAN,3975596.0,2095132.0,1184315.0,1789637.0,17181.0,121621.0,33127.0,2020
BENGKULU,13874568.0,2292345.0,553919.0,4089987.0,6470.0,16593.0,770.0,2020
LAMPUNG,1733770.0,706697.0,3983506.0,629318.0,150335.0,181087.0,104655.0,2020
KEP BANGKA BELITUNG,350115.0,498717.0,255876.0,346308.0,2234.0,8391.0,0.0,2020
KEP RIAU,22370.0,86311.0,13399.0,35737.0,420.0,779.0,565.0,2020
DKI JAKARTA,4128.0,4126.0,1644.0,3047.0,519.0,1758.0,257.0,2020
JAWA BARAT,34910295.0,13094661.0,6883225.0,16999276.0,477359.0,261296.0,4796.0,2020
JAWA TENGAH,31667414.0,14358832.0,12851560.0,30058632.0,1524054.0,4679050.0,1874395.0,2020
DI YOGYAKARTA,4532098.0,1150310.0,1741514.0,3085478.0,598544.0,1394658.0,912426.0,2020
